feature,coef,abs_coef
cat__platform_GB,2.699868082104615,2.699868082104615
cat__platform_NES,1.9357653993776966,1.9357653993776966
cat__platform_PS4,1.3273250436803494,1.3273250436803494
cat__platform_XOne,1.134437129957026,1.134437129957026
cat__platform_WiiU,1.081972797201695,1.081972797201695
cat__platform_PS3,1.074389950484249,1.074389950484249
cat__platform_X360,1.0241349941676248,1.0241349941676248
cat__platform_3DS,0.9624230812815693,0.9624230812815693
cat__platform_Wii,0.8779834664941618,0.8779834664941618
cat__platform_GG,-0.7362861302644953,0.7362861302644953
cat__platform_PSV,0.6661201729719676,0.6661201729719676
cat__platform_PS2,0.6639713755258094,0.6639713755258094
cat__platform_DS,0.6496053886510863,0.6496053886510863
cat__platform_GEN,0.5362091742469478,0.5362091742469478
cat__platform_PC,0.5297407197618466,0.5297407197618466
cat__platform_PSP,0.5278794888124004,0.5278794888124004
cat__platform_SNES,0.45405797748709,0.45405797748709
cat__platform_PS,0.4528607981400703,0.4528607981400703
cat__platform_GBA,0.3920109647663622,0.3920109647663622
cat__platform_N64,0.38091194390109684,0.38091194390109684
cat__platform_PCFX,-0.3658075256561653,0.3658075256561653
cat__platform_GC,0.3604022408558434,0.3604022408558434
cat__platform_XB,0.3194257115467046,0.3194257115467046
cat__genre_Platform,0.2959517346718692,0.2959517346718692
cat__genre_Adventure,-0.26940618165539837,0.26940618165539837
cat__platform_SCD,-0.25862105728025864,0.25862105728025864
num__year,-0.24980021526347926,0.24980021526347926
cat__genre_Strategy,-0.2453670683811689,0.2453670683811689
cat__platform_TG16,-0.23952714013000617,0.23952714013000617
cat__platform_NG,-0.22502826957403657,0.22502826957403657
cat__genre_Shooter,0.20654763350326258,0.20654763350326258
cat__genre_Puzzle,-0.19758082200531007,0.19758082200531007
cat__platform_DC,0.19669765123397556,0.19669765123397556
cat__platform_WS,0.1466593177357407,0.1466593177357407
cat__genre_Misc,-0.09515794471370403,0.09515794471370403
cat__genre_Role-Playing,0.08797710524560805,0.08797710524560805
cat__genre_Simulation,-0.08174414865494824,0.08174414865494824
cat__genre_Sports,-0.07351621483514761,0.07351621483514761
cat__platform_SAT,-0.067129235549614,0.067129235549614
cat__genre_Racing,0.040399098956293955,0.040399098956293955
cat__genre_Fighting,-0.02716902158425572,0.02716902158425572
